"usageclass","checkouttype","materialtype","checkoutyear","checkoutmonth","checkouts","title","creator","subjects","publisher","publicationyear"
"Physical","Horizon","BOOK","2020","8","1","Harvest / Sam Inglis.","Inglis, Sam","Young Neil 1945 Harvest","Continuum,","2003."
"Digital","OverDrive","EBOOK","2020","8","1","The Race Beat","Gene Roberts","History, Nonfiction, Politics, Sociology","Random House, Inc.","2008"
"Digital","OverDrive","EBOOK","2020","8","5","I Can Cook Vegan","Isa Chandra Moskowitz","Cooking & Food, Nonfiction","ABRAMS","2019"
"Digital","OverDrive","EBOOK","2020","8","1","Follow the Stars Home","Luanne Rice","Fiction, Romance","Random House, Inc.","2012"
"Digital","OverDrive","EBOOK","2020","8","1","Blood of Innocence","Tami Dane","Fantasy, Fiction, Romance","Lightning Source Inc","2012"
"Digital","OverDrive","EBOOK","2020","8","5","The Outside","Ada Hoffmann","Fiction, Science Fiction","Random House, Inc.","2019"
"Digital","OverDrive","EBOOK","2020","8","1","The True Story of Hansel and Gretel","Louise Murphy","Fiction","Penguin Group (USA), Inc.","2013"
"Digital","OverDrive","EBOOK","2020","8","2","One Hundred Shoes","Charles Ghigna","Juvenile Fiction, Juvenile Literature","Random House, Inc.","2013"
"Digital","OverDrive","AUDIOBOOK","2020","8","1","Tales of Terror (Unabridged)","Edgar Allan Poe","Fiction, Mystery","Blackstone Audio, Inc.","2006"
"Digital","OverDrive","EBOOK","2020","8","16","Blindness","José Saramago","Fiction, Literature","Houghton Mifflin Harcourt Trade and Reference","2011"
"Digital","OverDrive","EBOOK","2020","8","1","Red Planet","Robert Heinlein","Science Fiction, Young Adult Fiction","Random House, Inc.","2009"
"Digital","OverDrive","EBOOK","2020","8","4","Tempted","Rebecca Zanetti","Fantasy, Fiction, Romance, Suspense","Lightning Source Inc","2012"
"Digital","OverDrive","EBOOK","2020","8","2","The Practical Heart: Four Novellas","Allan Gurganus","Fiction, Literature","Random House, Inc.","2013"
"Digital","OverDrive","EBOOK","2020","8","5","That Good Night","Richard Probert","Fantasy, Fiction","Independent Publishers Group","2016"
"Digital","OverDrive","EBOOK","2020","8","1","Canada","Richard Ford","Fiction, Literature","HarperCollins Publishers Inc.","2012"
"Digital","OverDrive","EBOOK","2020","8","2","Rules","Cynthia Lord","Juvenile Fiction, Juvenile Literature","Scholastic, Inc. (US)","2014"
"Digital","OverDrive","EBOOK","2020","8","1","Bittersweet","Nevada Barr","Fiction, Western","HarperCollins Publishers Inc.","2007"
"Digital","OverDrive","EBOOK","2020","8","1","In Close","Brenda Novak","Fiction, Mystery, Romance, Suspense","Harlequin Enterprises, Ltd.","2011"
"Digital","OverDrive","EBOOK","2020","8","1","Fair Chance","Josh Lanyon","Fiction, Romance, Suspense","Carina Press","2017"
"Digital","OverDrive","AUDIOBOOK","2020","8","3","Huckleberry Finn (Unabridged)","Mark Twain","Drama, Fiction","Random House Group Limited","2009"
"Digital","OverDrive","EBOOK","2020","8","1","At Home in Stone Creek","Linda Lael Miller","Fiction, Romance","Harlequin Enterprises, Ltd.","2009"
"Digital","OverDrive","EBOOK","2020","8","1","Stop Me","Brenda Novak","Fiction, Romance, Suspense, Suspense","Harlequin Enterprises, Ltd.","2011"
"Digital","OverDrive","EBOOK","2020","8","5","Hunting Game","Helene Tursten","Fiction, Mystery","Random House, Inc.","2019"
"Digital","OverDrive","EBOOK","2020","8","1","Threesome","Lawrence Block","Erotic Literature, Fiction","Open Road Integrated Media","2011"
"Digital","OverDrive","EBOOK","2020","8","1","Umbrella Summer","Lisa Graff","Juvenile Fiction","HarperCollins Publishers Inc.","2009"
